health_sys_id,health_sys_name,health_sys_city,health_sys_state,in_onekey,in_aha,onekey_id,aha_sysid,total_mds,prim_care_mds,total_nps,total_pas,grp_cnt,hosp_cnt,acutehosp_cnt,nh_cnt,sys_multistate,sys_beds,sys_dsch,sys_res,maj_inv_owned,deg_children,sys_incl_majteachhosp,sys_incl_vmajteachhosp,sys_teachint,sys_incl_highdpphosp,sys_highucburden,sys_incl_highuchosp,sys_anyins_product,sys_mcare_adv,sys_mcaid_mngcare,sys_healthins_mktplc,sys_ma_plan_contracts,sys_ma_plan_enroll,sys_apm,sys_aco,sys_ebpm,sys_pctm
HSI00000008,Adena Health System,Chillicothe,OH,1,1,17780403,0895,221,89,94,12,51,3,3,0,1,239,10533,45.79,0,0,0,0,1,0,1,1,0,0,0,0,,,1,144,0,28
HSI00000010,Adventist Health System,Altamonte Springs,FL,1,1,17773293,4165,2558,940,668,269,570,34,33,15,3,7700,366041,209.41,0,0,0,0,1,1,1,1,1,1,1,1,,,1,1342,0,30
HSI00000011,Adventist Health,Roseville,CA,1,1,17773620,0235,1716,621,358,300,345,28,25,5,3,2659,136567,123.41,0,0,0,0,1,1,0,1,1,1,1,0,,,1,232,0,26
HSI00000012,Adventist Healthcare,Gaithersburg,MD,1,1,17773292,0214,283,85,46,63,46,4,2,0,1,496,33181,0,0,0,0,0,0,1,0,0,1,0,0,0,,,0,0,0,0
HSI00000018,Alameda Health System,Oakland,CA,1,1,18283551,0225,474,163,44,43,9,3,3,4,1,265,15310,99.99,0,0,1,0,2,1,1,1,0,0,0,0,,,0,0,0,0
HSI00000019,Albany Medical Center,Albany,NY,1,0,18202149,,731,152,111,141,88,3,2,0,1,909,49205,366.91,0,0,1,0,2,0,0,0,0,0,0,0,,,1,0,0,38
HSI00000020,Albert Einstein Healthcare Network,Philadelphia,PA,1,1,18150651,1685,961,301,86,87,101,2,2,1,1,577,37134,325.61,0,0,1,1,2,1,0,0,1,1,1,0,,,1,477,20,0
HSI00000021,Alecto Healthcare Services,Irvine,CA,1,1,18394721,1020,209,42,15,20,16,7,6,1,3,905,23673,32.2,1,0,1,0,1,1,0,1,0,0,0,0,,,0,0,0,0
HSI00000025,Allegheny Health Network,Pittsburgh,PA,1,1,17773987,0199,3094,525,280,294,382,8,8,1,2,1858,81024,559.76,0,0,1,1,2,0,0,0,0,0,0,0,H3916; H3957; H5106; H5932; H9190,315859,1,1039,56,0
HSI00000029,Allina Health System,Minneapolis,MN,1,1,17773295,0041,1728,829,335,243,200,13,12,1,2,1725,116339,64.26,0,0,0,0,1,0,0,0,1,1,0,1,,,1,613,0,0
HSI00000032,Altru Health System,Grand Forks,ND,1,0,17830969,,295,126,57,28,29,1,1,0,1,276,14257,30.19,0,0,0,0,1,0,0,0,1,0,0,1,,,1,0,0,33
HSI00000034,Anderson Regional Health System,Meridian,MS,1,0,18359667,,69,14,42,5,25,2,2,0,1,293,11489,0.23,0,0,0,0,1,0,0,0,0,0,0,0,,,1,24,0,0
HSI00000036,Ann and Robert H Lurie Childrens Hospital,Chicago,IL,1,0,17773934,,552,207,251,10,13,1,1,0,1,312,11868,244.49,0,2,1,1,2,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000038,Anne Arundel Health System,Annapolis,MD,1,0,17830970,,397,98,105,75,91,1,1,0,1,415,25069,8.64,0,0,0,0,1,0,0,0,1,1,0,0,,,1,234,0,0
HSI00000041,Appalachian Regional Healthcare,Lexington,KY,1,1,17774074,0145,210,77,64,14,47,12,12,1,2,803,26280,9.32,0,0,0,0,1,1,0,1,0,0,0,0,,,0,0,0,0
HSI00000042,Appalachian Regional Healthcare System,Boone,NC,1,1,18197550,0866,98,34,40,16,23,2,2,1,1,119,4555,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,58,0,0
HSI00000045,Archbold Medical Center,Thomasville,GA,1,1,17830971,0104,119,41,37,20,26,4,4,3,1,322,10650,0,0,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0
HSI00000046,Ardent Health Services,Nashville,TN,1,1,17847721,0069,1127,441,393,141,236,29,23,1,3,3158,153859,142.58,1,0,0,0,1,1,0,1,1,0,0,0,,,1,143,7,84
HSI00000048,Jefferson Health,Radnor,PA,1,1,17773319,7775,3050,853,480,225,322,6,5,2,2,2518,118394,1072.32,0,0,1,1,2,0,0,0,1,1,1,0,,,1,1549,53,238
HSI00000050,Arkansas Childrens Hospital,Little Rock,AR,1,0,18294566,,353,161,98,7,12,1,1,0,1,336,10244,157.7,0,2,1,0,2,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000051,Armstrong County Memorial Hospital,Kittanning,PA,1,0,18155944,,72,29,16,18,21,1,1,1,1,133,4702,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000052,Arnot Health,Elmira,NY,1,1,18162204,0809,248,91,58,32,60,3,3,2,1,274,10797,75.19,0,0,1,0,2,1,0,0,0,0,0,0,,,0,0,0,0
HSI00000053,Arrowhead Regional Medical Center,Colton,CA,1,0,18200674,,389,147,29,80,4,1,1,0,1,366,19884,145.71,0,0,1,0,2,1,1,1,0,0,0,0,,,0,0,0,0
HSI00000054,Asante Health System,Medford,OR,1,1,17817687,0094,252,93,78,41,40,3,3,0,1,448,25462,0,0,0,0,0,0,0,1,0,1,1,0,0,,,1,0,0,32
HSI00000055,Ascension Health,Saint Louis,MO,1,1,17773929,0198,11419,4553,2799,1207,1988,127,112,44,3,17577,828864,2440.39,0,1,1,1,1,1,0,1,1,1,1,1,H1181; H1518; H1714; H4198; H4402; H5215; H8769,69808,1,2974,11,289
HSI00000056,Kings Daughters Medical Center,Ashland,KY,1,0,18179104,,174,57,117,17,48,2,2,1,2,449,14543,0,0,0,0,0,0,0,0,0,,,,,,,1,0,0,2
HSI00000057,Aspirus,Wausau,WI,1,1,18259070,0519,437,182,148,99,106,9,9,2,2,422,21906,15.18,0,0,0,0,1,0,0,1,1,0,0,1,,,0,0,0,0
HSI00000059,Atlantic General Health System,Berlin,MD,1,0,18156810,,60,21,19,6,24,1,1,0,1,48,3200,0,0,0,0,0,0,0,0,0,,,,,,,1,43,0,0
HSI00000060,Atlantic Health System,Morristown,NJ,1,1,17773460,0865,1120,381,199,84,229,5,5,1,1,1432,84262,281.77,0,0,1,0,1,0,0,0,0,0,0,0,,,1,608,48,27
HSI00000063,Augusta Health,Fishersville,VA,1,0,18296765,,191,57,52,31,44,1,1,1,1,166,10153,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,137,0,0
HSI00000064,Augusta University Medical Center,Augusta,GA,1,0,17774099,,950,292,103,46,49,3,2,0,1,511,21615,498.45,0,0,1,1,2,1,0,0,0,0,0,0,,,0,0,0,0
HSI00000065,Aultman Health Foundation,Canton,OH,1,1,17774075,0859,238,99,57,19,36,5,3,0,1,510,25701,81.32,0,0,0,0,1,0,0,1,1,1,0,1,H3664,20033,1,203,0,7
HSI00000067,Avanti Hospitals,El Segundo,CA,1,1,18400874,0869,81,11,10,6,5,4,4,2,1,403,16573,0,1,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0
HSI00000068,Avera Health,Sioux Falls,SD,1,1,17774077,5255,820,344,348,163,216,38,35,23,3,1299,44508,45.59,0,0,0,0,1,0,0,0,1,1,0,1,,,1,661,0,0
HSI00000070,BJC Healthcare,Saint Louis,MO,1,1,17773625,0051,2951,768,567,77,238,22,18,6,2,3554,147969,931.34,0,1,1,1,2,0,0,1,1,0,1,1,,,1,445,0,0
HSI00000071,Bingham Memorial Hospital,Blackfoot,ID,1,0,18387409,,67,17,16,9,23,2,1,1,1,25,2000,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0
HSI00000073,Banner Health,Phoenix,AZ,1,1,17847448,0194,3620,1208,675,351,324,29,27,1,3,4790,227964,765.49,0,0,1,1,1,1,1,1,1,1,1,0,H4931,12075,1,339,72,46
HSI00000074,Baptist Health,Little Rock,AR,1,1,17773298,0355,298,108,135,24,121,10,8,1,1,1197,45371,8.19,0,0,0,0,1,1,0,0,1,1,1,1,H4213; H6342; H9699,17585,1,259,0,56
HSI00000075,Baptist Health,Jacksonville,FL,1,1,17829259,0005,510,242,131,58,137,4,4,0,1,1049,60422,53.16,0,0,0,0,1,0,1,0,0,0,0,0,,,1,275,0,0
HSI00000076,Baptist Health Care,Pensacola,FL,1,1,17773297,0185,263,82,98,42,84,4,3,0,1,352,20532,0,0,0,0,0,0,0,0,1,1,0,1,0,,,1,0,13,0
HSI00000077,Baptist Health South Florida,Coral Gables,FL,1,1,17773783,0122,969,246,315,101,131,7,7,0,1,2119,91879,49.43,0,0,0,0,1,1,1,1,0,0,0,0,,,1,29,0,0
HSI00000080,Baptist Healthcare System,Louisville,KY,1,1,17773623,0315,1114,354,429,132,274,10,10,2,2,2191,104315,22.33,0,0,0,0,1,1,0,0,1,1,0,0,,,1,735,0,0
HSI00000081,Baptist Memorial Health Care Corporation,Memphis,TN,1,1,17773784,1625,1439,368,390,80,280,24,18,4,3,2577,109229,85.97,0,0,0,0,1,1,0,1,0,0,0,0,,,1,266,31,28
HSI00000086,Barton Healthcare System,South Lake Tahoe,CA,1,0,18190170,,111,31,17,12,18,2,2,1,2,86,3331,0,0,0,0,0,0,0,1,1,0,0,0,0,,,1,63,0,0
HSI00000087,Bassett Healthcare Network,Cooperstown,NY,1,1,18956744,0528,448,160,131,102,75,5,5,2,1,301,11995,54.22,0,0,1,0,1,0,0,0,0,0,0,0,,,1,314,0,0
HSI00000089,Baton Rouge General Health System,Baton Rouge,LA,1,0,18185304,,184,77,66,2,27,1,1,1,1,253,14715,57.99,0,0,0,0,1,0,1,0,1,0,0,0,,,1,99,0,0
HSI00000090,Baxter Regional Medical Center,Mountain Home,AR,1,0,18389203,,56,13,40,2,20,1,1,0,1,147,8163,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,39,0,2
HSI00000094,Bayhealth,Dover,DE,1,0,17834336,,210,68,51,38,61,2,2,0,1,405,18857,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,78,0,0
HSI00000096,Baylor Scott and White Health,Dallas,TX,1,1,18387777,0918,3622,1342,756,400,579,31,23,2,1,3716,236248,566.82,0,1,1,0,1,0,0,1,1,1,1,1,H2032; H4564; H8142; H8237,33568,1,2138,0,0
HSI00000097,Baystate Health,Springfield,MA,1,1,17773461,1095,924,283,227,116,110,4,4,0,1,889,46955,310.92,0,0,1,0,2,0,0,1,1,1,1,1,H8578,8931,1,586,0,0
HSI00000098,Beacon Health System,South Bend,IN,1,1,18162616,0940,362,156,104,23,74,3,2,1,2,584,27994,27.8,0,0,0,0,1,1,0,0,0,0,0,0,,,1,246,2,0
HSI00000100,Beaufort Memorial Hospital,Beaufort,SC,1,0,18287519,,95,38,27,16,21,1,1,0,1,167,8050,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000101,Beaumont Health Systems,Southfield,MI,1,1,17773685,0953,1953,697,317,253,235,8,8,7,1,3108,168269,882.19,0,0,1,0,2,0,0,0,0,0,0,0,,,1,375,0,42
HSI00000103,Beebe Healthcare,Lewes,DE,1,0,18402510,,116,39,43,16,38,1,1,0,1,193,10541,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,102,0,0
HSI00000105,Bellin Health Systems,Green Bay,WI,1,0,17829260,,241,100,163,44,79,3,2,0,1,171,8546,0,0,0,0,0,0,0,0,1,1,0,0,1,,,1,170,0,0
HSI00000106,Beloit Health System,Beloit,WI,1,0,18395709,,127,38,24,16,16,1,1,1,1,103,4045,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0
HSI00000107,Benefis Healthcare System,Great Falls,MT,1,1,18288440,0538,148,39,54,26,11,3,3,2,1,362,10084,0,0,0,0,0,0,0,0,0,1,1,0,0,,,0,0,0,0
HSI00000109,Berkshire Health Systems,Pittsfield,MA,1,1,17779641,2435,376,143,96,58,51,2,2,14,1,246,13495,63.55,0,0,1,0,2,0,0,0,0,0,0,0,,,1,249,0,0
HSI00000110,Beth Israel Deaconess Medical Center,Boston,MA,1,0,18040796,,3288,889,355,75,136,4,4,0,1,952,57933,534.7,0,0,1,1,2,0,0,0,0,0,0,0,,,1,1296,0,0
HSI00000113,University Health System,San Antonio,TX,1,0,17773346,,737,283,108,72,39,1,1,0,1,590,28233,456,0,0,1,1,2,1,1,1,1,0,1,0,,,0,0,0,0
HSI00000114,Billings Clinic,Billings,MT,1,0,17830973,,436,172,96,102,21,11,11,3,2,406,17213,32.16,0,0,0,0,1,0,0,0,0,0,0,0,,,1,284,0,46
HSI00000117,Blessing Health System,Quincy,IL,1,0,17725373,,113,40,57,0,26,2,2,1,1,253,12130,16.22,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000118,Blount Memorial Hospital,Maryville,TN,1,0,18722944,,135,49,56,29,14,1,1,1,1,183,10791,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000125,Bon Secours Health System,Marriottsville,MD,1,1,17773930,5085,1232,501,380,152,352,11,11,3,3,1821,97173,76.75,0,0,1,0,1,1,0,0,1,0,0,0,,,1,667,20,3
HSI00000130,Boston Childrens Hospital,Boston,MA,1,0,17773467,,1638,521,418,65,60,1,1,0,1,415,14902,309.63,0,2,1,1,2,0,0,0,0,0,0,0,,,0,2,0,0
HSI00000131,Boston Medical Center,Boston,MA,1,0,17773462,,1479,562,399,88,90,1,1,0,1,433,25715,523.41,0,0,1,1,2,1,0,0,1,0,1,1,H9585,928,1,768,0,0
HSI00000132,Boulder Community Health,Boulder,CO,1,0,18352917,,202,72,39,36,42,1,1,0,1,139,8149,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,141,0,71
HSI00000135,Bozeman Deaconess Hospital,Bozeman,MT,1,0,18389200,,150,55,34,24,18,1,1,0,1,83,6928,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,33
HSI00000139,Bronson Healthcare,Kalamazoo,MI,1,1,17773787,0595,510,155,166,130,114,4,4,1,1,648,35308,107.88,0,0,1,0,1,1,0,1,0,0,0,0,,,1,345,0,52
HSI00000140,BronxCare Health System,Bronx,NY,1,0,17774080,,562,205,34,14,29,1,1,2,1,460,27005,324.08,0,0,1,1,2,1,0,0,1,1,1,,,,1,0,2,0
HSI00000143,Bryan Health,Lincoln,NE,1,1,17773463,0400,136,54,58,43,22,7,6,0,2,575,24996,17.94,0,0,0,0,1,0,0,0,0,0,0,0,,,1,2,0,14
HSI00000146,Butler Health System,Butler,PA,1,0,17999450,,145,64,48,47,51,1,1,1,1,267,11951,0,0,0,0,0,0,0,0,0,,,,,,,1,135,0,0
HSI00000147,CAMC Health System,Charleston,WV,1,0,17774081,,413,116,79,34,44,2,2,0,1,826,37919,141.03,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000148,CGH Medical Center,Sterling,IL,1,0,18294505,,83,32,40,16,17,1,1,0,1,93,4079,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000152,Christus Health,Irving,TX,1,1,17774085,0192,2383,619,465,161,278,32,26,2,3,4024,176574,164.9,0,1,1,0,1,1,1,1,1,1,1,1,H1189,1407,1,677,90,0
HSI00000154,Cabell Huntington Hospital,Huntington,WV,1,0,18391710,,503,198,100,36,59,2,2,2,1,662,31561,153.55,0,0,1,0,1,1,0,0,0,0,0,0,,,1,255,7,0
HSI00000155,Calvert Health System,Prince Frederick,MD,1,0,18344611,,71,25,21,9,16,1,1,0,1,71,5496,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000156,Cambridge Health Alliance,Cambridge,MA,1,0,17778721,,494,226,78,99,31,1,1,2,1,200,7624,92.67,0,0,1,0,2,1,0,0,1,0,1,0,H2221,426,1,314,0,0
HSI00000159,Campbell County Health,Gillette,WY,1,0,18166198,,65,22,13,9,6,1,1,1,1,66,2253,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000161,Cape Cod Healthcare,Hyannis,MA,1,1,17773299,0124,449,145,109,51,76,2,2,1,1,334,21642,3.93,0,0,0,0,1,0,0,0,0,0,0,0,,,1,25,0,0
HSI00000162,Cape Fear Valley Health System,Fayetteville,NC,1,1,17773626,0835,307,112,70,84,47,4,3,0,1,620,35136,33,0,0,0,0,1,1,0,1,0,0,0,0,,,1,166,0,0
HSI00000164,Capital Health System,Trenton,NJ,1,1,17845401,0297,469,133,93,52,35,2,2,0,1,297,17189,36.52,0,0,0,0,1,0,0,0,0,0,0,0,,,1,158,0,35
HSI00000165,Capital Region Health Care,Concord,NH,1,0,17773627,,356,176,101,81,62,1,1,1,1,191,13141,26.75,0,0,0,0,1,0,0,0,1,0,0,0,,,1,193,0,0
HSI00000166,Care New England Health System,Providence,RI,1,1,17773628,0099,1450,409,162,67,66,3,2,0,1,570,23876,119.96,0,0,1,0,1,1,0,0,0,0,0,0,,,1,239,0,0
HSI00000169,Carepoint Health,Jersey City,NJ,1,1,18408021,0931,268,92,25,17,40,3,3,1,1,431,19002,105.75,1,0,1,0,1,1,1,1,0,0,0,0,,,0,0,0,0
HSI00000170,Carilion Clinic,Roanoke,VA,1,1,17773464,0070,1037,380,249,150,185,7,7,0,1,904,47865,235.66,0,0,1,0,2,0,0,1,0,0,0,0,,,1,657,0,0
HSI00000171,Caromont Health System,Gastonia,NC,1,0,18192623,,244,74,73,46,64,1,1,1,1,370,22650,0,0,0,0,0,0,0,0,0,1,0,1,0,H4235,218,1,166,0,0
HSI00000172,CarolinaEast Health System,New Bern,NC,1,0,18299970,,134,51,20,24,19,1,1,0,1,281,12502,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000173,Atrium Health,Charlotte,NC,1,1,17773788,0705,3686,1509,970,632,738,23,22,10,3,4171,204058,374.31,0,0,1,0,1,1,0,1,1,1,1,1,H1533,99,1,2188,0,0
HSI00000178,Carson Tahoe Health,Carson City,NV,1,0,18211927,,121,43,38,21,27,3,1,0,1,175,10759,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,9,14,0
HSI00000182,Catawba Valley Medical Center,Hickory,NC,1,0,18163979,,81,38,30,24,22,1,1,0,1,200,11156,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,40,0,0
HSI00000183,Catholic Health Initiatives,Englewood,CO,1,1,17773932,0092,5965,2176,1974,847,1382,112,102,28,3,11026,520337,934.46,0,0,1,1,1,1,0,1,1,1,1,1,H3765; H6947; H7195; H9208; H9302,25990,1,3271,11,157
HSI00000186,Catholic Health Services of Long Island,Rockville Centre,NY,1,1,17991358,0233,784,201,189,304,85,7,7,4,1,1936,86463,95.82,0,0,0,0,1,0,0,0,0,0,0,0,,,1,316,9,0
HSI00000188,Catholic Medical Center,Manchester,NH,1,0,17773465,,156,66,68,37,28,1,1,0,1,231,10953,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1,120,0,0
HSI00000189,Cayuga Medical Center,Ithaca,NY,1,1,18293435,0991,114,31,33,34,31,2,2,0,1,169,5897,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,107,0,0
HSI00000190,Cedars-Sinai Health System,West Hollywood,CA,1,1,17773789,0984,1841,468,166,79,128,3,3,1,1,1593,86112,353.96,0,0,1,0,1,0,0,0,1,0,0,0,,,1,650,7,0
HSI00000192,Centra Health,Lynchburg,VA,1,1,17846198,2265,367,134,142,60,51,5,4,5,1,555,28919,19.76,0,0,0,0,1,0,0,0,1,1,0,1,H1659; H8096,5281,1,321,14,0
HSI00000193,CentraCare Health System,Saint Cloud,MN,1,1,17773466,0184,529,223,168,89,72,7,7,7,1,634,34194,9.62,0,0,0,0,1,0,0,0,0,0,0,0,,,1,377,0,0
HSI00000194,Centrastate Healthcare System,Freehold,NJ,1,0,18200526,,148,62,24,10,23,1,1,2,1,241,12381,17.54,0,0,0,0,1,0,0,0,1,,,,,,1,24,0,13
HSI00000195,Central Florida Health Alliance,Leesburg,FL,1,1,18242931,0856,54,11,17,4,15,2,2,0,1,564,27469,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000197,Central Maine Healthcare Corporation,Lewiston,ME,1,1,17990313,1007,285,128,102,40,46,3,3,1,1,278,11264,18.34,0,0,0,0,1,0,0,1,0,0,0,0,,,1,194,0,0
HSI00000203,Erlanger Health System,Chattanooga,TN,1,1,17773636,0525,464,161,160,41,58,4,4,1,2,724,41076,171.34,0,0,1,0,1,0,0,1,1,,,,,,1,266,0,21
HSI00000205,Chesapeake Regional Medical Center,Chesapeake,VA,1,0,18230771,,101,21,29,28,9,1,1,0,1,310,14963,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000206,Cheyenne Regional,Cheyenne,WY,1,0,18379122,,156,46,28,13,17,2,1,1,1,170,8495,0,0,0,0,0,0,0,0,0,0,0,0,0,H4000,130,0,0,0,0
HSI00000207,Children's Minnesota,Minneapolis,MN,1,0,23066757,,196,64,176,8,23,2,2,0,1,381,15496,51.91,0,2,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000208,Childrens Health,Dallas,TX,1,1,17773791,1039,463,193,236,81,38,3,3,0,1,489,14528,106.57,0,2,1,0,1,0,0,0,1,,1,,,,0,0,0,0
HSI00000209,Childrens Healthcare of Atlanta,Atlanta,GA,1,0,17773933,,673,224,114,47,79,2,2,0,1,593,25945,185.8,0,2,1,0,2,0,0,0,,,,,,,0,0,0,0
HSI00000210,Childrens Hospital Los Angeles,Los Angeles,CA,1,0,18295190,,681,237,146,23,25,1,1,0,1,374,17081,221.62,0,2,1,0,2,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000211,Childrens Hospital Medical Center of Akron,Akron,OH,1,0,18289807,,303,171,167,13,73,1,1,0,1,401,10233,120.16,0,2,1,0,2,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000212,Childrens Hospital and Health System,Wauwatosa,WI,1,1,18198805,0407,682,325,170,42,44,2,2,0,1,340,9793,189.95,0,2,1,1,2,0,0,0,,,,,,,0,0,0,0
HSI00000213,Childrens Hospital and Medical Center,Omaha,NE,1,0,18294781,,240,102,101,27,28,1,1,0,1,140,4768,40.07,0,2,1,0,2,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000214,CHOC Childrens,Orange,CA,1,0,18235913,,697,512,47,2,27,2,2,0,1,388,14331,93.96,0,2,1,0,1,0,0,0,1,0,1,0,,,0,0,0,0
HSI00000215,Childrens Hospital of the Kings Daughters,Norfolk,VA,1,0,18248841,,420,250,89,37,51,1,1,0,1,198,5171,91.85,0,2,1,0,2,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000216,Children National Hospital,Washington,DC,1,0,17990280,,928,378,173,55,32,1,1,0,1,323,15332,321.63,0,2,1,1,2,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000217,Childrens of Alabama,Birmingham,AL,1,0,18283545,,382,185,59,0,25,1,1,0,1,339,15548,122.9,0,2,1,0,2,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000218,Christiana Care Health System,Wilmington,DE,1,1,17774086,0131,774,266,253,130,130,1,1,0,1,1061,50919,243.57,0,0,0,0,1,0,0,0,1,,,,,,1,524,0,0
HSI00000224,Cincinnati Childrens Hospital Medical Center,Cincinnati,OH,1,0,18290105,,1052,338,418,22,20,1,1,0,1,602,18557,373.68,0,2,1,1,2,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000225,Citizens Memorial Healthcare,Bolivar,MO,1,0,18294931,,72,30,25,15,40,1,1,6,1,52,2972,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000226,Citrus Valley Health Partners,Covina,CA,1,1,17773304,0101,98,14,9,20,9,3,3,1,1,586,29569,5,0,0,0,0,1,1,0,0,1,0,0,0,,,1,0,4,0
HSI00000229,Olympic Medical Center,Port Angeles,WA,1,0,18378192,,96,34,25,24,19,1,1,0,1,78,4155,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000231,Coastal Carolinas Health Alliance,Wilmington,NC,1,0,17855688,,256,103,71,39,30,3,3,1,1,360,18460,59.81,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000235,Colquitt Regional Medical Center,Moultrie,GA,1,0,18289883,,52,25,16,6,12,1,1,0,1,94,4491,3.21,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0
HSI00000236,Columbia Memorial Health,Hudson,NY,1,0,18381414,,87,37,23,27,25,1,1,0,1,94,4489,0,0,0,0,0,0,1,0,0,,,,,,,1,0,0,22
HSI00000240,Columbus Regional Health,Columbus,IN,1,0,18381333,,123,46,47,10,36,1,1,0,1,214,8865,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1,87,0,0
